_id,YEAR,CATEGORY,TYPE,COUNT_
189,2023,Languages,Arabic,492
190,2023,Languages,Chinese,2500
191,2023,Languages,Croatian,4
192,2023,Languages,Farsi,440
193,2023,Languages,French,405
194,2023,Languages,German,4
195,2023,Languages,Greek,27
196,2023,Languages,Hindi,60
197,2023,Languages,Hungarian,249
198,2023,Languages,Italian,112
199,2023,Languages,Japanese,36
200,2023,Languages,Korean,138
201,2023,Languages,Polish,98
202,2023,Languages,Portuguese,323
203,2023,Languages,Punjabi,123
204,2023,Languages,Russian,349
205,2023,Languages,Somali,89
206,2023,Languages,Spanish ,1796
207,2023,Languages,Tamil,217
208,2023,Languages,Turkish,346
209,2023,Languages,Ukrainian,212
210,2023,Languages,Urdu,59
211,2023,Languages,Vietnamese,259
212,2023,Alarm Calls,Valid Alarms,1252
213,2023,Alarm Calls,False Alarms,5704
214,2023,Calls Received,Emergency,1426213
215,2023,Calls Received,Non-Emergency,703188
216,2017,Alarm Calls,Valid Alarms,608
217,2017,Alarm Calls,False Alarms,18120
218,2017,Calls Received,Emergency,996467
219,2017,Calls Received,Non-Emergency,848711
220,2018,Languages,Arabic,188
221,2018,Languages,Chinese,2895
222,2018,Languages,Croatian,8
223,2018,Languages,Farsi,216
224,2018,Languages,French,336
225,2018,Languages,German,4
226,2018,Languages,Greek,57
227,2018,Languages,Hindi,40
228,2018,Languages,Hungarian,191
229,2018,Languages,Italian,126
230,2018,Languages,Japanese,43
231,2018,Languages,Korean,190
232,2018,Languages,Polish,89
233,2018,Languages,Portuguese,243
234,2018,Languages,Punjabi,232
235,2018,Languages,Russian,246
236,2018,Languages,Somali,87
237,2018,Languages,Spanish ,666
238,2018,Languages,Tamil,394
239,2018,Languages,Turkish,64
240,2018,Languages,Urdu,51
241,2018,Languages,Vietnamese,205
242,2018,Alarm Calls,Valid Alarms,787
243,2018,Alarm Calls,False Alarms,11629
244,2018,Calls Received,Emergency,1094182
245,2018,Calls Received,Non-Emergency,838363
246,2019,Languages,Arabic,213
